id;active;year;gender;want_spam;balance;undo_count
471;f;1985;M;t;0;0
472;t;2015;M;t;0;0
473;t;2016;M;t;0;0
474;t;2010;M;t;1000;0
475;t;2017;F;t;2250;0
476;f;1993;M;t;-48400;0
477;t;2015;M;t;0;0
478;f;1998;U;t;0;0
479;f;1999;F;t;0;0
480;f;2010;M;t;5600;0
481;f;1994;U;t;0;0
482;t;2016;M;t;250;0
483;f;1987;M;t;0;0
484;f;2006;M;t;75;0
485;f;2007;M;t;0;0
486;f;2006;M;t;175;0
487;f;2003;M;t;-925;0
488;f;2009;M;t;0;0
489;t;2007;M;t;16950;0
490;f;1984;M;t;0;0
491;t;2012;M;t;200;0
492;f;2001;M;t;-3175;0
493;f;1984;M;t;0;0
494;f;2012;M;t;1300;0
495;t;2013;M;t;42050;0
496;f;1995;U;t;0;0
497;f;1986;M;t;0;0
498;t;2014;F;t;1100;0
499;f;1977;M;t;0;0
500;f;2002;M;t;4950;0
501;f;1992;M;t;0;0
502;f;1977;U;t;0;0
503;f;2011;M;t;150;0
504;f;1990;M;t;0;0
505;f;2010;M;t;200;0
506;t;2016;M;t;4500;0
507;f;2006;M;t;2500;0
508;f;1985;M;t;0;0
509;f;1988;U;t;0;0
510;f;0;M;t;0;0
511;t;2011;U;t;0;0
512;t;2010;M;t;56850;0
513;t;2016;F;t;0;0
514;f;2004;M;t;8425;0
515;f;1978;U;t;0;0
516;t;2014;M;f;0;0
517;f;1992;M;t;0;0
518;t;2015;M;t;2450;0
519;f;2009;M;t;200;0
520;f;1991;U;t;0;0
521;f;1985;M;t;0;0
522;f;1997;M;t;-33300;0
523;f;2004;U;t;0;0
524;f;2003;U;t;0;0
525;t;2015;F;t;0;0
526;f;2003;M;t;-5425;0
527;t;2004;M;t;0;0
528;f;1993;U;t;-9000;0
529;f;1998;M;t;175;0
530;f;2002;M;t;-36125;0
531;f;2006;M;t;2800;0
532;f;2011;U;t;15000;0
533;t;2004;U;t;8825;0
534;f;1985;M;t;0;0
535;f;2003;U;t;0;0
536;f;1991;M;t;0;0
537;f;1985;F;t;0;0
538;f;1997;M;t;4325;0
539;f;1994;M;t;-5450;0
540;t;2016;M;t;16650;0
541;t;2010;U;t;21250;0
542;f;1984;U;t;0;0
543;t;2015;M;t;0;0
544;t;2016;M;t;26000;0
545;t;2012;M;t;0;0
546;f;2010;M;t;200;0
547;f;1999;M;t;0;0
548;f;1979;U;t;0;0
549;t;2016;M;t;8050;0
550;t;2009;M;t;0;0
551;f;1984;U;t;0;0
552;f;2006;M;t;4125;0
553;f;1989;M;t;0;0
554;f;1990;M;t;0;0
555;f;1989;M;t;0;0
556;t;2010;M;t;6000;0
557;f;2013;M;t;400;0
558;t;2014;M;t;900;0
559;f;1990;M;t;100;0
560;f;2002;M;t;2050;0
561;f;2000;M;t;0;0
562;f;2010;M;f;100;0
563;f;1990;M;t;-74900;0
564;f;2011;M;t;750;0
565;f;2006;M;t;30050;0
566;f;2005;U;t;-5200;0
567;f;1985;U;t;0;0
568;t;2015;M;t;7150;0
569;f;1996;F;t;475;0
570;f;2001;M;t;350;0
571;f;1991;M;t;0;0
572;t;2015;F;t;250;0
573;f;2003;M;t;3325;0
574;t;2014;M;t;100;0
575;f;2003;M;t;600;0
576;t;2008;M;t;600;0
577;t;2015;M;t;0;0
578;t;2014;M;t;27400;0
579;f;2001;U;t;1400;0
580;f;1994;M;t;0;0
581;f;2006;M;t;300;0
582;t;2012;M;t;8500;0
583;f;2004;M;t;200;0
584;f;1991;M;t;0;0
585;t;2013;F;t;400;0
586;t;1987;M;t;10975;0
587;f;1989;M;t;0;0
588;t;2004;M;t;300;0
589;t;2010;M;t;600;0
590;t;2014;M;t;50;0
591;f;2008;M;t;0;0
592;f;2005;M;t;-5400;0
593;t;2013;M;t;10000;0
594;t;2011;M;t;1100;0
595;f;2009;U;t;100;0
596;f;1996;M;t;4000;0
597;f;1986;M;t;0;0
598;t;2001;M;t;0;0
599;f;1993;U;t;0;0
